"";"SinS2_contig";"SinS2_start";"SinS2_end";"SinS2_strand"
"ASIC003917";"AXCK02021893";"4067";"5211";"-1"
"ASIC003928";"AXCK02023052";"80";"673";"-1"
"ASIC003939";"AXCK02023052";"1646";"2561";"1"
"ASIC003950";"KI916564";"234671";"236755";"-1"
"ASIC003961";"KI916564";"237653";"238897";"1"
"ASIC003972";"KI916564";"240486";"242163";"-1"
"ASIC003983";"KI916564";"252735";"253814";"-1"
"ASIC003906";"AXCK02019736";"9072";"10308";"1"
"ASIC005175";"KI916394";"176605";"177210";"1"
"ASIC005186";"KI916394";"165974";"172055";"1"
"ASIC005197";"KI916394";"158114";"159183";"-1"
"ASIC005208";"KI916394";"156327";"156905";"-1"
"ASIC005219";"KI916394";"154509";"156389";"1"
"ASIC005230";"KI916394";"151084";"153139";"-1"
"ASIC005241";"KI916394";"140938";"142988";"-1"
"ASIC005252";"KI916394";"139425";"139941";"1"
"ASIC005105";"KI916394";"133692";"138626";"-1"
"ASIC005116";"KI916394";"132302";"132609";"-1"
"ASIC005127";"KI916394";"129770";"130325";"-1"
"ASIC005138";"KI916394";"127046";"128937";"-1"
"ASIC005149";"KI916394";"77691";"78696";"1"
"ASIC005160";"AXCK02022479";"724";"1554";"1"
"ASIC005171";"AXCK02022479";"4056";"4488";"1"
"ASIC005172";"KI916394";"48048";"49419";"-1"
"ASIC005173";"KI916394";"32882";"35409";"-1"
"ASIC005174";"KI916394";"29197";"30279";"-1"
"ASIC005176";"KI916394";"26306";"26690";"-1"
"ASIC005177";"KI916394";"12363";"13040";"-1"
"ASIC005179";"AXCK02023495";"4423";"4649";"1"
"ASIC005180";"AXCK02025462";"811";"1677";"-1"
"ASIC005181";"AXCK02024103";"883";"819";"-1"
"ASIC005182";"AXCK02018947";"6374";"7275";"1"
"ASIC005183";"AXCK02018947";"10146";"10074";"-1"
"ASIC005184";"AXCK02022333";"1177";"1668";"-1"
"ASIC005185";"AXCK02025311";"2355";"2444";"-1"
"ASIC005187";"AXCK02025311";"399";"1200";"1"
"ASIC005188";"AXCK02023435";"2713";"3268";"1"
"ASIC005189";"AXCK02022796";"502";"1110";"1"
"ASIC005190";"AXCK02021428";"6906";"7322";"-1"
"ASIC005191";"AXCK02028704";"1";"1312";"-1"
"ASIC005192";"AXCK02020942";"4016";"6375";"1"
"ASIC005194";"AXCK02017899";"15242";"15901";"1"
