"","seqname","gene_id","start","end"
"1","AS2_scf7180000695491","ASIC003917",5085,5932
"3","AS2_scf7180000695491","ASIC003928",12282,12755
"4","AS2_scf7180000695491","ASIC003939",13847,13886
"6","AS2_scf7180000695491","ASIC003950",27177,27260
"10","AS2_scf7180000695491","ASIC003961",28547,28699
"14","AS2_scf7180000695491","ASIC003972",32766,32923
"16","AS2_scf7180000695491","ASIC003983",40450,40786
"18","AS2_scf7180000695491","ASIC003994",44251,44738
"25","AS2_scf7180000695491","ASIC003906",45558,46291
"27","AS2_scf7180000695491","ASIC003908",56200,56211
"30","AS2_scf7180000695557","ASIC005104",1677,1877
"31","AS2_scf7180000695557","ASIC005175",4260,4380
"33","AS2_scf7180000695557","ASIC005186",15277,15321
"45","AS2_scf7180000695557","ASIC005197",22234,22249
"47","AS2_scf7180000695557","ASIC005208",24509,24967
"48","AS2_scf7180000695557","ASIC005219",26551,26785
"52","AS2_scf7180000695557","ASIC005230",28277,28758
"56","AS2_scf7180000695557","ASIC005241",38438,38587
"60","AS2_scf7180000695557","ASIC005252",41572,41883
"62","AS2_scf7180000695557","ASIC005105",42796,42851
"71","AS2_scf7180000695557","ASIC005116",48807,48995
"72","AS2_scf7180000695557","ASIC005127",51059,51073
"74","AS2_scf7180000695557","ASIC005138",52447,52523
"77","AS2_scf7180000695557","ASIC005149",96448,97335
"78","AS2_scf7180000695557","ASIC005160",105355,106065
"79","AS2_scf7180000695557","ASIC005171",108805,109116
"80","AS2_scf7180000695557","ASIC005172",119438,119458
"84","AS2_scf7180000695557","ASIC005173",132737,132950
"86","AS2_scf7180000695557","ASIC005174",137859,138395
"88","AS2_scf7180000695557","ASIC005176",141447,141546
"90","AS2_scf7180000695557","ASIC005177",154930,154949
"92","AS2_scf7180000695557","ASIC005178",175089,175189
"94","AS2_scf7180000695557","ASIC005179",185339,186010
"95","AS2_scf7180000695557","ASIC005180",200400,200413
"97","AS2_scf7180000695557","ASIC005181",206775,206931
"99","AS2_scf7180000695557","ASIC005182",213708,213837
"101","AS2_scf7180000695557","ASIC005183",220261,220379
