"";"AsinS2_geneID";"AsinC2_geneID"
"ASIC003917";"ASIS000480";"ASIC003917"
"ASIC003950";"ASIS022584";"ASIC003950"
"ASIC003961";"ASIS013097";"ASIC003961"
"ASIC003972";"ASIS001574";"ASIC003972"
"ASIC003983";"ASIS019017";"ASIC003983"
"ASIC0039061";"ASIS010384";"ASIC003906"
"ASIC0039062";"ASIS023487";"ASIC003906"
"ASIC005175";"ASIS008763";"ASIC005175"
"ASIC005186";"ASIS019398";"ASIC005186"
"ASIC005197";"ASIS003930";"ASIC005197"
"ASIC0052081";"ASIS007046";"ASIC005208"
"ASIC0052082";"ASIS013935";"ASIC005208"
"ASIC0052191";"ASIS007046";"ASIC005219"
"ASIC0052192";"ASIS013935";"ASIC005219"
"ASIC005230";"ASIS007046";"ASIC005230"
"ASIC005241";"ASIS004255";"ASIC005241"
"ASIC005252";"ASIS004255";"ASIC005252"
"ASIC0051051";"ASIS001118";"ASIC005105"
"ASIC0051052";"ASIS021772";"ASIC005105"
"ASIC005116";"ASIS005355";"ASIC005116"
"ASIC005127";"ASIS005355";"ASIC005127"
"ASIC005138";"ASIS005355";"ASIC005138"
"ASIC005173";"ASIS007508";"ASIC005173"
"ASIC005174";"ASIS011865";"ASIC005174"
"ASIC005182";"ASIS010254";"ASIC005182"
"ASIC005192";"ASIS010609";"ASIC005192"
"ASIC005202";"ASIS012502";"ASIC005202"
"ASIC005203";"ASIS002823";"ASIC005203"
"ASIC005205";"ASIS003949";"ASIC005205"
"ASIC0052061";"ASIS010478";"ASIC005206"
"ASIC0052062";"ASIS013575";"ASIC005206"
"ASIC005209";"ASIS017044";"ASIC005209"
"ASIC005210";"ASIS017044";"ASIC005210"
"ASIC025357";"ASIS024019";"ASIC025357"
"ASIC005212";"ASIS002986";"ASIC005212"
"ASIC005213";"ASIS021330";"ASIC005213"
"ASIC005214";"ASIS000821";"ASIC005214"
"ASIC0052151";"ASIS008752";"ASIC005215"
"ASIC0052152";"ASIS023408";"ASIC005215"
"ASIC005216";"ASIS002807";"ASIC005216"
"ASIC005217";"ASIS013714";"ASIC005217"
"ASIC005218";"ASIS018552";"ASIC005218"
"ASIC0052201";"ASIS003396";"ASIC005220"
"ASIC0052202";"ASIS016784";"ASIC005220"
"ASIC005221";"ASIS003396";"ASIC005221"
"ASIC005222";"ASIS003396";"ASIC005222"
"ASIC0052231";"ASIS003396";"ASIC005223"
"ASIC0052232";"ASIS012539";"ASIC005223"
"ASIC005224";"ASIS018602";"ASIC005224"
"ASIC0052251";"ASIS008673";"ASIC005225"
"ASIC0052252";"ASIS016457";"ASIC005225"
"ASIC0052261";"ASIS008673";"ASIC005226"
"ASIC0052262";"ASIS009524";"ASIC005226"
"ASIC005227";"ASIS004642";"ASIC005227"
"ASIC005228";"ASIS010542";"ASIC005228"
"ASIC005229";"ASIS010948";"ASIC005229"
"ASIC005231";"ASIS011541";"ASIC005231"
"ASIC0052321";"ASIS005369";"ASIC005232"
"ASIC0052322";"ASIS019839";"ASIC005232"
"ASIC005233";"ASIS019839";"ASIC005233"
"ASIC005234";"ASIS023591";"ASIC005234"
"ASIC0052351";"ASIS000219";"ASIC005235"
"ASIC0052352";"ASIS010307";"ASIC005235"
"ASIC005236";"ASIS000219";"ASIC005236"
"ASIC005237";"ASIS000219";"ASIC005237"
"ASIC005238";"ASIS009488";"ASIC005238"
"ASIC005239";"ASIS019383";"ASIC005239"
"ASIC005240";"ASIS018453";"ASIC005240"
"ASIC005247";"ASIS020162";"ASIC005247"
"ASIC005250";"ASIS004053";"ASIC005250"
"ASIC005251";"ASIS014224";"ASIC005251"
"ASIC005255";"ASIS021821";"ASIC005255"
"ASIC005256";"ASIS008305";"ASIC005256"
