"","seqname","gene_id","start","end"
"1","AS2_scf7180000695491","ASIC003917",5085,5932
"2","AS2_scf7180000695491","ASIC003917",4872,4989
"3","AS2_scf7180000695491","ASIC003928",12282,12755
"4","AS2_scf7180000695491","ASIC003939",13847,13886
"5","AS2_scf7180000695491","ASIC003939",14250,14680
"6","AS2_scf7180000695491","ASIC003950",27177,27260
"7","AS2_scf7180000695491","ASIC003950",25884,26892
"8","AS2_scf7180000695491","ASIC003950",25626,25801
"9","AS2_scf7180000695491","ASIC003950",25296,25547
"10","AS2_scf7180000695491","ASIC003961",28547,28699
"11","AS2_scf7180000695491","ASIC003961",28788,29127
"12","AS2_scf7180000695491","ASIC003961",29211,29423
"13","AS2_scf7180000695491","ASIC003961",29580,29671
"14","AS2_scf7180000695491","ASIC003972",32766,32923
"15","AS2_scf7180000695491","ASIC003972",31367,32453
"16","AS2_scf7180000695491","ASIC003983",40450,40786
"17","AS2_scf7180000695491","ASIC003983",39818,39912
"18","AS2_scf7180000695491","ASIC003994",44251,44738
"19","AS2_scf7180000695491","ASIC003994",43648,44148
"20","AS2_scf7180000695491","ASIC003994",42971,43478
"21","AS2_scf7180000695491","ASIC003994",42723,42901
"22","AS2_scf7180000695491","ASIC003994",42177,42647
"23","AS2_scf7180000695491","ASIC003994",41267,41486
"24","AS2_scf7180000695491","ASIC003994",40895,41200
"25","AS2_scf7180000695491","ASIC003906",45558,46291
"26","AS2_scf7180000695491","ASIC003906",45175,45256
"27","AS2_scf7180000695491","ASIC003908",56200,56211
"28","AS2_scf7180000695491","ASIC003908",56307,56450
"29","AS2_scf7180000695491","ASIC003908",56665,56934
"30","AS2_scf7180000695557","ASIC005104",1677,1877
"31","AS2_scf7180000695557","ASIC005175",4260,4380
"32","AS2_scf7180000695557","ASIC005175",3893,4191
"33","AS2_scf7180000695557","ASIC005186",15277,15321
"34","AS2_scf7180000695557","ASIC005186",15172,15224
"35","AS2_scf7180000695557","ASIC005186",14845,14992
"36","AS2_scf7180000695557","ASIC005186",14577,14740
"37","AS2_scf7180000695557","ASIC005186",14341,14506
"38","AS2_scf7180000695557","ASIC005186",14196,14266
"39","AS2_scf7180000695557","ASIC005186",12497,12644
"40","AS2_scf7180000695557","ASIC005186",12282,12431
"41","AS2_scf7180000695557","ASIC005186",12084,12215
"42","AS2_scf7180000695557","ASIC005186",11750,11969
"43","AS2_scf7180000695557","ASIC005186",11175,11657
"44","AS2_scf7180000695557","ASIC005186",9100,9680
"45","AS2_scf7180000695557","ASIC005197",22234,22249
"46","AS2_scf7180000695557","ASIC005197",22366,23183
"47","AS2_scf7180000695557","ASIC005208",24509,24967
"48","AS2_scf7180000695557","ASIC005219",26551,26785
"49","AS2_scf7180000695557","ASIC005219",26082,26270
"50","AS2_scf7180000695557","ASIC005219",25335,26002
"51","AS2_scf7180000695557","ASIC005219",25025,25267
"52","AS2_scf7180000695557","ASIC005230",28277,28758
"53","AS2_scf7180000695557","ASIC005230",28895,29109
"54","AS2_scf7180000695557","ASIC005230",29170,29963
"55","AS2_scf7180000695557","ASIC005230",30029,30220
"56","AS2_scf7180000695557","ASIC005241",38438,38587
"57","AS2_scf7180000695557","ASIC005241",38665,38907
"58","AS2_scf7180000695557","ASIC005241",38980,39090
"59","AS2_scf7180000695557","ASIC005241",40289,40369
"60","AS2_scf7180000695557","ASIC005252",41572,41883
"61","AS2_scf7180000695557","ASIC005252",41487,41516
"62","AS2_scf7180000695557","ASIC005105",42796,42851
"63","AS2_scf7180000695557","ASIC005105",42910,43071
"64","AS2_scf7180000695557","ASIC005105",43280,43474
"65","AS2_scf7180000695557","ASIC005105",43536,43797
"66","AS2_scf7180000695557","ASIC005105",44147,44983
"67","AS2_scf7180000695557","ASIC005105",45048,45274
"68","AS2_scf7180000695557","ASIC005105",45360,46181
"69","AS2_scf7180000695557","ASIC005105",46390,46573
"70","AS2_scf7180000695557","ASIC005105",46679,47605
"71","AS2_scf7180000695557","ASIC005116",48807,48995
"72","AS2_scf7180000695557","ASIC005127",51059,51073
"73","AS2_scf7180000695557","ASIC005127",51357,51494
"74","AS2_scf7180000695557","ASIC005138",52447,52523
"75","AS2_scf7180000695557","ASIC005138",53746,53827
"76","AS2_scf7180000695557","ASIC005138",53922,54218
"77","AS2_scf7180000695557","ASIC005149",96448,97335
"78","AS2_scf7180000695557","ASIC005160",105355,106065
"79","AS2_scf7180000695557","ASIC005171",108805,109116
"80","AS2_scf7180000695557","ASIC005172",119438,119458
"81","AS2_scf7180000695557","ASIC005172",119869,120005
"82","AS2_scf7180000695557","ASIC005172",120373,120571
"83","AS2_scf7180000695557","ASIC005172",120640,120687
"84","AS2_scf7180000695557","ASIC005173",132737,132950
"85","AS2_scf7180000695557","ASIC005173",133025,135138
"86","AS2_scf7180000695557","ASIC005174",137859,138395
"87","AS2_scf7180000695557","ASIC005174",138540,138821
"88","AS2_scf7180000695557","ASIC005176",141447,141546
"89","AS2_scf7180000695557","ASIC005176",141610,141710
"90","AS2_scf7180000695557","ASIC005177",154930,154949
"91","AS2_scf7180000695557","ASIC005177",155309,155486
"92","AS2_scf7180000695557","ASIC005178",175089,175189
"93","AS2_scf7180000695557","ASIC005178",175254,175557
"94","AS2_scf7180000695557","ASIC005179",185339,186010
"95","AS2_scf7180000695557","ASIC005180",200400,200413
"96","AS2_scf7180000695557","ASIC005180",199681,200056
"97","AS2_scf7180000695557","ASIC005181",206775,206931
"98","AS2_scf7180000695557","ASIC005181",207208,207251
"99","AS2_scf7180000695557","ASIC005182",213708,213837
"100","AS2_scf7180000695557","ASIC005182",214079,214485
"101","AS2_scf7180000695557","ASIC005183",220261,220379
"102","AS2_scf7180000695557","ASIC005183",218239,218584
"103","AS2_scf7180000695557","ASIC005183",216599,216878
"104","AS2_scf7180000695557","ASIC005183",216248,216306
"105","AS2_scf7180000695557","ASIC005184",232079,232274
"106","AS2_scf7180000695557","ASIC005184",232443,232450
"107","AS2_scf7180000695557","ASIC005185",246970,247326
"108","AS2_scf7180000695557","ASIC005187",248908,249291
"109","AS2_scf7180000695557","ASIC005187",248590,248820
"110","AS2_scf7180000695557","ASIC005188",269408,269510
"111","AS2_scf7180000695557","ASIC005188",269763,269866
"112","AS2_scf7180000695557","ASIC005189",272037,272525
"113","AS2_scf7180000695557","ASIC005190",306374,306670
"114","AS2_scf7180000695557","ASIC005191",332881,332933
"115","AS2_scf7180000695557","ASIC005191",333840,334158
"116","AS2_scf7180000695557","ASIC005192",349111,349393
"117","AS2_scf7180000695557","ASIC005192",348297,348445
"118","AS2_scf7180000695557","ASIC005192",347967,348225
"119","AS2_scf7180000695557","ASIC005192",347117,347214
"120","AS2_scf7180000695557","ASIC005193",359976,360129
"121","AS2_scf7180000695557","ASIC005193",358340,358493
"122","AS2_scf7180000695557","ASIC005193",357604,357818
"123","AS2_scf7180000695557","ASIC005193",357064,357143
"124","AS2_scf7180000695557","ASIC005194",375231,375466
"125","AS2_scf7180000695557","ASIC005194",375690,375768
"126","AS2_scf7180000695557","ASIC005195",391590,391871
"127","AS2_scf7180000695557","ASIC005195",392265,392381
"128","AS2_scf7180000695557","ASIC005196",396800,396973
"129","AS2_scf7180000695557","ASIC005198",401903,402412
"130","AS2_scf7180000695557","ASIC005199",431749,432411
"131","AS2_scf7180000695557","ASIC005200",465906,466112
"132","AS2_scf7180000695557","ASIC005201",469277,469340
"133","AS2_scf7180000695557","ASIC005201",469001,469164
"134","AS2_scf7180000695557","ASIC005202",475557,475625
"135","AS2_scf7180000695557","ASIC005202",474058,475278
"136","AS2_scf7180000695557","ASIC005202",473844,473984
"137","AS2_scf7180000695557","ASIC005203",477857,478003
"138","AS2_scf7180000695557","ASIC005203",476512,477783
"139","AS2_scf7180000695557","ASIC005204",508928,508954
"140","AS2_scf7180000695557","ASIC005204",509044,509193
"141","AS2_scf7180000695557","ASIC005204",509679,509813
"142","AS2_scf7180000695557","ASIC005205",511836,512186
"143","AS2_scf7180000695557","ASIC005205",512270,513719
"144","AS2_scf7180000695557","ASIC005205",514005,514456
"145","AS2_scf7180000695557","ASIC005205",515587,515835
"146","AS2_scf7180000695557","ASIC005205",517125,517670
"147","AS2_scf7180000695557","ASIC005205",517754,518444
"148","AS2_scf7180000695557","ASIC005205",518921,519042
"149","AS2_scf7180000695557","ASIC005205",519409,521538
"150","AS2_scf7180000695557","ASIC005205",521605,525906
"151","AS2_scf7180000695557","ASIC005206",526366,526398
"152","AS2_scf7180000695557","ASIC005206",528025,531927
"153","AS2_scf7180000695557","ASIC005206",532042,532247
"154","AS2_scf7180000695557","ASIC005206",532539,532875
"155","AS2_scf7180000695557","ASIC005206",533885,534080
"156","AS2_scf7180000695557","ASIC005206",534152,534239
"157","AS2_scf7180000695557","ASIC005206",534335,534642
"158","AS2_scf7180000695557","ASIC005206",534720,535006
"159","AS2_scf7180000695557","ASIC005209",552957,553079
"160","AS2_scf7180000695557","ASIC005209",553154,553409
"161","AS2_scf7180000695557","ASIC005209",553506,553662
"162","AS2_scf7180000695557","ASIC005209",553726,553840
"163","AS2_scf7180000695557","ASIC005210",554058,554333
"164","AS2_scf7180000695557","ASIC005211",561174,561510
"165","AS2_scf7180000695557","ASIC005211",560378,560442
"166","AS2_scf7180000695557","ASIC025357",565893,565970
"167","AS2_scf7180000695557","ASIC005212",576528,576576
"168","AS2_scf7180000695557","ASIC005212",576416,576442
"169","AS2_scf7180000695557","ASIC005212",576196,576345
"170","AS2_scf7180000695557","ASIC005212",575916,576130
"171","AS2_scf7180000695557","ASIC005212",575602,575850
"172","AS2_scf7180000695557","ASIC005212",575371,575515
"173","AS2_scf7180000695557","ASIC005212",575215,575252
"174","AS2_scf7180000695557","ASIC005213",582928,582991
"175","AS2_scf7180000695557","ASIC005213",582561,582713
"176","AS2_scf7180000695557","ASIC005213",582266,582483
"177","AS2_scf7180000695557","ASIC005213",581945,582193
"178","AS2_scf7180000695557","ASIC005213",581703,581855
"179","AS2_scf7180000695557","ASIC005213",580264,580448
"180","AS2_scf7180000695557","ASIC005213",579407,579434
"181","AS2_scf7180000695557","ASIC005214",583451,583567
"182","AS2_scf7180000695557","ASIC005214",583775,584039
"183","AS2_scf7180000695557","ASIC005214",584974,586631
"184","AS2_scf7180000695557","ASIC005215",598223,598270
"185","AS2_scf7180000695557","ASIC005215",598098,598178
"186","AS2_scf7180000695557","ASIC005215",597392,597474
"187","AS2_scf7180000695557","ASIC005215",597029,597310
"188","AS2_scf7180000695557","ASIC005215",596402,596752
"189","AS2_scf7180000695557","ASIC005215",596243,596324
"190","AS2_scf7180000695557","ASIC005215",594750,595006
"191","AS2_scf7180000695557","ASIC005215",594450,594645
"192","AS2_scf7180000695557","ASIC005215",593284,593920
"193","AS2_scf7180000695557","ASIC005215",593097,593221
"194","AS2_scf7180000695557","ASIC005215",592392,592690
"195","AS2_scf7180000695557","ASIC005215",591630,592322
"196","AS2_scf7180000695557","ASIC005215",591441,591543
"197","AS2_scf7180000695557","ASIC005216",600759,600849
"198","AS2_scf7180000695557","ASIC005216",599325,600505
"199","AS2_scf7180000695557","ASIC005217",618669,618851
"200","AS2_scf7180000695557","ASIC005217",612349,612693
"201","AS2_scf7180000695557","ASIC005217",612025,612267
"202","AS2_scf7180000695557","ASIC005217",607442,611648
"203","AS2_scf7180000695557","ASIC005217",607151,607370
"204","AS2_scf7180000695557","ASIC005217",606300,607081
"205","AS2_scf7180000695557","ASIC005217",606014,606210
"206","AS2_scf7180000695557","ASIC005217",605833,605940
"207","AS2_scf7180000695557","ASIC005217",605136,605761
"208","AS2_scf7180000695557","ASIC005217",604915,605060
"209","AS2_scf7180000695557","ASIC005217",604741,604800
"210","AS2_scf7180000695557","ASIC005217",603810,604435
"211","AS2_scf7180000695557","ASIC005218",633457,633945
"212","AS2_scf7180000695557","ASIC005220",650899,650905
"213","AS2_scf7180000695557","ASIC005220",649845,650707
"214","AS2_scf7180000695557","ASIC005220",643185,643342
"215","AS2_scf7180000695557","ASIC005220",642923,643025
"216","AS2_scf7180000695557","ASIC005220",642685,642834
"217","AS2_scf7180000695557","ASIC005220",642449,642590
"218","AS2_scf7180000695557","ASIC005220",640899,641644
"219","AS2_scf7180000695557","ASIC005221",652569,653096
"220","AS2_scf7180000695557","ASIC005222",653883,654013
"221","AS2_scf7180000695557","ASIC005222",653192,653816
"222","AS2_scf7180000695557","ASIC005223",655255,655390
"223","AS2_scf7180000695557","ASIC005223",655517,655890
"224","AS2_scf7180000695557","ASIC005223",655957,656667
"225","AS2_scf7180000695557","ASIC005223",656797,656898
"226","AS2_scf7180000695557","ASIC005224",661806,661872
"227","AS2_scf7180000695557","ASIC005224",661478,661630
"228","AS2_scf7180000695557","ASIC005224",661118,661348
"229","AS2_scf7180000695557","ASIC005224",660885,661042
"230","AS2_scf7180000695557","ASIC005224",660381,660653
"231","AS2_scf7180000695557","ASIC005225",663824,663882
"232","AS2_scf7180000695557","ASIC005225",663971,664166
"233","AS2_scf7180000695557","ASIC005225",664232,664499
"234","AS2_scf7180000695557","ASIC005225",664604,665423
"235","AS2_scf7180000695557","ASIC005225",665492,665640
"236","AS2_scf7180000695557","ASIC005225",665704,665828
"237","AS2_scf7180000695557","ASIC005225",665967,666718
"238","AS2_scf7180000695557","ASIC005225",666802,666946
"239","AS2_scf7180000695557","ASIC005226",672011,672560
"240","AS2_scf7180000695557","ASIC005226",669972,671647
"241","AS2_scf7180000695557","ASIC005226",669074,669802
"242","AS2_scf7180000695557","ASIC005227",680203,680326
"243","AS2_scf7180000695557","ASIC005227",678036,679496
"244","AS2_scf7180000695557","ASIC005227",677588,677681
"245","AS2_scf7180000695557","ASIC005227",677134,677311
"246","AS2_scf7180000695557","ASIC005228",683843,683890
